factset_id,yearquart,tobinsq,tobinsq_std
000BN8-E,20192,2.5893843,0.32919249
000BN8-E,20193,2.5029819,0.28878415
000BN8-E,20194,2.7351861,0.39738053
000BN8-E,20201,2.241529,0.16650885
000BN8-E,20202,2.7345786,0.39709643
000BN8-E,20203,2.6549647,0.35986289
000BN8-E,20204,2.3996274,0.24044773
000BN8-E,20211,2.3863003,0.23421496
000BN8-E,20212,2.4338825,0.256468
000BN8-E,20213,2.1595874,0.12818672
000BN8-E,20214,2.5112319,0.29264247
000BN8-E,20221,2.0427201,0.073530667
000BP5-E,20152,0.634597,-0.58501494
000BP5-E,20153,0.5114283,-0.642618
000BP5-E,20154,0.65477479,-0.57557827
000BP5-E,20161,0.76058501,-0.52609336
000BP5-E,20162,0.95639354,-0.43451837
000BP5-E,20163,1.0225745,-0.40356711
000BP5-E,20164,1.1863782,-0.32696
000BP5-E,20171,1.5882436,-0.13901715
000BP5-E,20172,1.602931,-0.13214821
000BP5-E,20173,2.0015869,0.054293662
000BP5-E,20174,1.8232105,-0.029128747
000BP5-E,20181,1.3589927,-0.24623235
000BP5-E,20182,1.3860167,-0.23359385
000BP5-E,20183,1.4452832,-0.20587634
000BP5-E,20184,1.0796148,-0.37689075
000BP5-E,20191,1.1028405,-0.36602861
000BP5-E,20192,0.92167425,-0.45075577
000BP5-E,20193,0.90500176,-0.45855308
000BP5-E,20194,0.785393,-0.51449126
000BP5-E,20201,0.6085906,-0.59717751
000BP5-E,20202,0.80714417,-0.50431877
000BP5-E,20203,0.92803538,-0.44778082
000BP5-E,20204,1.5026932,-0.17902705
000BP5-E,20211,1.6572573,-0.10674109
000BP5-E,20212,1.8211626,-0.030086499
000BP5-E,20213,2.3640826,0.22382425
000BP5-E,20214,2.4918225,0.28356516
000BP5-E,20221,2.268682,0.17920767
000BTB-E,20152,6.0042696,1.926253
000BTB-E,20153,4.5652857,1.2532744
000BTB-E,20154,3.9485235,0.9648295
000BTB-E,20161,3.7681444,0.88047051
000BTB-E,20162,3.0413792,0.54057974
000BTB-E,20163,3.6089568,0.80602229
000BTB-E,20164,3.5982192,0.80100054
000BTB-E,20171,4.4564185,1.2023599
000BTB-E,20172,4.2489905,1.1053509
000BTB-E,20173,4.3439097,1.1497422
000BTB-E,20174,3.8030987,0.8968178
000BTB-E,20181,3.9753389,0.97737044
000BTB-E,20182,3.708566,0.85260707
000BTB-E,20183,3.3941872,0.70557964
000BTB-E,20184,2.4639554,0.2705324
000BTB-E,20191,3.0110729,0.52640617
000BTB-E,20192,2.8001328,0.42775452
000BTB-E,20193,2.8101261,0.43242815
000BTB-E,20194,4.2555103,1.1084
000BTB-E,20201,2.9764574,0.51021737
000BTB-E,20202,4.2818279,1.1207081
000BTB-E,20203,4.7913709,1.3590091
000BTB-E,20204,4.972012,1.4434907
000BTB-E,20211,5.5888343,1.7319638
000BTB-E,20212,5.5204539,1.699984
000BTB-E,20213,3.6336389,0.8175655
000BTB-E,20214,2.9867389,0.51502579
000BTB-E,20221,2.5001462,0.28745794
000BVL-E,20152,0.53507197,-0.63156044
000BVL-E,20153,0.39019334,-0.69931674
000BVL-E,20154,0.40194842,-0.69381917
000BVL-E,20161,0.47483018,-0.65973407
000BVL-E,20162,0.55107176,-0.62407774
000BVL-E,20163,0.48836693,-0.65340328
000BVL-E,20164,0.68294615,-0.5624032
000BVL-E,20171,0.53771991,-0.63032204
000BVL-E,20172,0.49682248,-0.64944881
000BVL-E,20173,0.55481619,-0.62232655
000BVL-E,20174,0.64626116,-0.57955992
000BVL-E,20181,0.71520156,-0.5473181
000BVL-E,20182,0.92528749,-0.44906592
000BVL-E,20183,0.98861563,-0.41944888
000BVL-E,20184,0.55374628,-0.62282693
000BVL-E,20191,0.83247256,-0.49247327
000BVL-E,20192,0.88068455,-0.46992567
000BVL-E,20193,0.84326863,-0.48742419
000BVL-E,20194,0.92576182,-0.44884411
000BVL-E,20201,0.4873572,-0.65387547
000BVL-E,20202,0.80879897,-0.50354487
000BVL-E,20203,0.65838939,-0.57388783
000BVL-E,20204,0.85565579,-0.48163101
000BVL-E,20211,1.1390808,-0.34907991
000BVL-E,20212,1.3964292,-0.2287242
000BVL-E,20213,1.2333924,-0.30497262
000BVL-E,20214,1.1107563,-0.36232659
000BVL-E,20221,1.6659352,-0.10268266
000BY1-E,20152,0.42587915,-0.68262732
000BY1-E,20153,0.456525,-0.66829497
000BY1-E,20154,0.46365908,-0.66495854
000BY1-E,20161,0.52182549,-0.63775551
000BY1-E,20162,0.54386437,-0.62744844
000BY1-E,20163,0.51386184,-0.64147991
000BY1-E,20164,0.48777816,-0.65367866
000BY1-E,20171,0.53474051,-0.63171548
000BY1-E,20172,0.54446495,-0.62716758
000BY1-E,20173,0.54009104,-0.62921315
000BY1-E,20174,0.55920154,-0.62027562
000BY1-E,20181,0.51465368,-0.64110959
000BY1-E,20182,0.51005232,-0.64326155
